Date,Food_Stores,Clothing_Footwear,Household_Goods,Internet_Share
2006-12-31,63.8,89.6,107.0,2.65
2007-03-31,55.93,56.07,90.43,2.8
2007-06-30,59.23,65.17,90.3,3.03
2007-09-30,58.53,65.67,89.27,3.4
2007-12-31,63.8,82.03,102.2,4.13
2008-03-31,59.47,57.1,90.27,4.43
2008-06-30,62.67,64.7,89.63,4.57
2008-09-30,62.27,66.5,86.63,4.87
2008-12-31,67.4,81.27,97.57,5.7
2009-03-31,62.93,57.73,81.0,5.9
2009-06-30,66.67,65.13,82.17,5.67
2009-09-30,65.37,66.4,84.0,5.97
2009-12-31,70.07,82.37,99.1,7.2
2010-03-31,64.27,60.57,79.43,6.8
2010-06-30,67.2,68.57,82.27,6.53
2010-09-30,65.93,70.33,81.4,7.03
2010-12-31,71.73,86.97,89.4,8.47
2011-03-31,65.43,62.2,78.17,8.13
2011-06-30,70.2,71.63,79.73,7.47
2011-09-30,69.47,71.8,78.57,7.93
2011-12-31,75.77,91.2,88.7,9.43
2012-03-31,68.27,64.37,77.7,9.1
2012-06-30,71.87,70.83,80.23,8.83
2012-09-30,71.43,74.07,77.43,8.73
2012-12-31,77.1,91.9,86.83,10.33
2013-03-31,70.47,64.8,74.9,10.27
2013-06-30,73.13,72.43,77.37,9.87
2013-09-30,74.2,76.13,75.3,9.77
2013-12-31,79.53,95.0,84.53,11.53
2014-03-31,71.63,66.07,78.0,10.87
2014-06-30,75.93,77.17,80.33,10.73
2014-09-30,73.83,79.2,80.2,10.73
2014-12-31,79.9,98.4,91.3,12.67
2015-03-31,72.53,69.33,82.77,12.07
2015-06-30,74.7,80.83,84.73,11.93
2015-09-30,73.8,82.17,85.27,11.8
2015-12-31,79.6,97.57,94.63,14.1
2016-03-31,73.03,67.0,85.77,13.37
2016-06-30,75.7,75.8,84.07,13.67
2016-09-30,75.57,80.77,84.13,13.97
2016-12-31,81.9,99.53,97.27,17.13
2017-03-31,73.7,70.23,84.37,15.67
2017-06-30,78.47,82.67,87.6,15.47
2017-09-30,77.03,86.8,86.57,15.63
2017-12-31,84.3,103.33,98.57,18.1
2018-03-31,76.4,71.13,88.53,17.27
2018-06-30,80.6,83.13,91.97,17.4
2018-09-30,80.5,86.83,93.07,17.0
2018-12-31,86.1,105.0,105.03,19.8
2019-03-31,78.43,73.97,87.63,18.83
2019-06-30,83.4,86.33,89.67,18.5
2019-09-30,82.67,89.0,89.5,18.3
2019-12-31,88.1,104.4,100.83,20.7
2020-03-31,83.33,65.27,83.93,20.47
2020-06-30,89.2,38.73,65.2,31.47
2020-09-30,85.53,73.07,100.3,27.33
2020-12-31,91.47,82.4,114.17,32.5
2021-03-31,87.37,39.27,87.3,36.23
2021-06-30,88.23,79.73,110.53,28.83
2021-09-30,86.2,82.03,101.3,28.0
2021-12-31,93.2,103.2,109.3,30.73
2022-03-31,84.67,73.03,98.97,28.1
2022-06-30,90.87,90.57,100.9,25.8
2022-09-30,92.23,90.77,97.03,24.83
2022-12-31,100.3,115.87,107.97,27.63
2023-03-31,93.43,83.9,96.33,26.4
2023-06-30,100.9,99.23,101.87,25.63
2023-09-30,98.87,96.97,98.57,25.83
2023-12-31,106.03,118.33,104.1,28.7
2024-03-31,98.17,82.97,92.73,26.33
2024-06-30,99.83,94.6,94.8,26.37
2024-09-30,100.27,97.4,92.5,26.47
2024-12-31,105.57,114.67,101.67,29.0
2025-03-31,99.67,83.23,94.73,26.43
2025-06-30,105.6,95.2,96.3,26.27
2025-09-30,104.2,101.93,95.53,26.6
2025-12-31,110.53,121.8,106.8,29.87
2026-03-31,101.4,84.7,97.7,28.9
